longitude,latitude,nilai_prediksi_kerawanan
109.445171,-7.171680,1.214002
109.446171,-7.171680,1.214002
109.447171,-7.171680,1.214002
109.448171,-7.171680,1.214002
109.449171,-7.171680,1.214002
109.450171,-7.171680,1.214002
109.451171,-7.171680,1.214002
109.452171,-7.171680,1.214002
109.453171,-7.171680,1.214002
109.454171,-7.171680,1.214002
109.455171,-7.171680,1.214002
109.436171,-7.172680,1.214002
109.437171,-7.172680,1.214002
109.438171,-7.172680,1.214002
109.439171,-7.172680,1.214002
109.440171,-7.172680,1.214002
109.441171,-7.172680,1.214002
109.442171,-7.172680,1.214002
109.443171,-7.172680,1.214002
109.444171,-7.172680,1.214002
109.445171,-7.172680,1.214002
109.446171,-7.172680,1.214002
109.447171,-7.172680,1.214002
109.448171,-7.172680,1.214002
109.449171,-7.172680,1.214002
109.450171,-7.172680,1.214002
109.451171,-7.172680,1.214002
109.452171,-7.172680,1.214002
109.453171,-7.172680,1.214002
109.454171,-7.172680,1.214002
109.455171,-7.172680,1.214002
109.436171,-7.173680,1.214002
109.437171,-7.173680,1.214002
109.438171,-7.173680,1.214002
109.439171,-7.173680,1.214002
109.440171,-7.173680,1.214002
109.441171,-7.173680,1.214002
109.442171,-7.173680,1.214002
109.443171,-7.173680,1.214002
109.444171,-7.173680,1.214002
109.445171,-7.173680,1.214002
109.446171,-7.173680,1.214002
109.447171,-7.173680,1.214002
109.448171,-7.173680,1.214002
109.449171,-7.173680,1.214002
109.450171,-7.173680,1.214002
109.451171,-7.173680,1.214002
109.452171,-7.173680,1.214002
109.453171,-7.173680,1.214002
109.454171,-7.173680,1.214002
109.455171,-7.173680,1.214002
109.456171,-7.173680,1.214002
109.457171,-7.173680,1.214002
109.436171,-7.174680,1.214002
109.437171,-7.174680,1.214002
109.438171,-7.174680,1.214002
109.439171,-7.174680,1.214002
109.440171,-7.174680,1.214002
109.441171,-7.174680,1.214002
109.442171,-7.174680,1.214002
109.443171,-7.174680,1.214002
109.444171,-7.174680,1.214002
109.445171,-7.174680,1.214002
109.446171,-7.174680,1.214002
109.447171,-7.174680,1.214002
109.448171,-7.174680,1.214002
109.449171,-7.174680,1.214002
109.450171,-7.174680,1.214002
109.451171,-7.174680,1.214002
109.452171,-7.174680,1.214002
109.453171,-7.174680,1.214002
109.454171,-7.174680,1.214002
109.455171,-7.174680,1.214002
109.456171,-7.174680,1.214002
109.457171,-7.174680,1.214002
109.458171,-7.174680,1.214002
109.437171,-7.175680,1.214002
109.438171,-7.175680,1.214002
109.439171,-7.175680,1.214002
109.440171,-7.175680,1.214002
109.441171,-7.175680,1.214002
109.442171,-7.175680,1.214002
109.443171,-7.175680,1.214002
109.444171,-7.175680,1.214002
109.445171,-7.175680,1.214002
109.446171,-7.175680,1.214002
109.447171,-7.175680,1.214002
109.448171,-7.175680,1.214002
109.449171,-7.175680,1.214002
109.450171,-7.175680,1.214002
109.451171,-7.175680,1.214002
109.452171,-7.175680,1.214002
109.453171,-7.175680,1.214002
109.454171,-7.175680,1.214002
109.455171,-7.175680,1.214002
109.456171,-7.175680,1.214002
109.457171,-7.175680,1.214002
109.458171,-7.175680,1.214002
109.436171,-7.176680,1.214002
109.437171,-7.176680,1.214002
109.438171,-7.176680,1.214002
109.439171,-7.176680,1.214002
109.440171,-7.176680,1.214002
109.441171,-7.176680,1.214002
109.442171,-7.176680,1.214002
109.443171,-7.176680,1.214002
109.444171,-7.176680,1.214002
109.445171,-7.176680,1.214002
109.446171,-7.176680,1.214002
109.447171,-7.176680,1.214002
109.448171,-7.176680,1.214002
109.449171,-7.176680,1.214002
109.450171,-7.176680,1.214002
109.451171,-7.176680,1.214002
109.452171,-7.176680,1.214002
109.453171,-7.176680,1.214002
109.454171,-7.176680,1.214002
109.455171,-7.176680,1.214002
109.456171,-7.176680,1.214002
109.457171,-7.176680,1.214002
109.458171,-7.176680,1.214002
109.459171,-7.176680,1.214002
109.434171,-7.177680,1.214002
109.435171,-7.177680,1.214002
109.436171,-7.177680,1.214002
109.437171,-7.177680,1.214002
109.438171,-7.177680,1.214002
109.439171,-7.177680,1.214002
109.440171,-7.177680,1.214002
109.441171,-7.177680,1.214002
109.442171,-7.177680,1.214002
109.443171,-7.177680,1.214002
109.444171,-7.177680,1.214002
109.445171,-7.177680,1.214002
109.446171,-7.177680,1.214002
109.447171,-7.177680,1.214002
109.448171,-7.177680,1.214002
109.449171,-7.177680,1.214002
109.450171,-7.177680,1.214002
109.451171,-7.177680,1.214002
109.452171,-7.177680,1.214002
109.453171,-7.177680,1.214002
109.454171,-7.177680,1.214002
109.455171,-7.177680,1.214002
